dataset,type,function,run,time,size
A,bin,write,1,143,122
A,bin,read,1,89,122
A,xml,write,1,320,316
A,xml,read,1,258,316
A,xml.gz,write,1,64,57
A,xml.gz,read,1,76,57
A,bin,write,2,11,122
A,bin,read,2,62,122
A,xml,write,2,44,316
A,xml,read,2,74,316
A,xml.gz,write,2,48,57
A,xml.gz,read,2,87,57
A,bin,write,3,11,122
A,bin,read,3,21,122
A,xml,write,3,23,316
A,xml,read,3,81,316
A,xml.gz,write,3,44,57
A,xml.gz,read,3,89,57
A,bin,write,4,14,122
A,bin,read,4,72,122
A,xml,write,4,19,316
A,xml,read,4,43,316
A,xml.gz,write,4,25,57
A,xml.gz,read,4,46,57
A,bin,write,5,8,122
A,bin,read,5,20,122
A,xml,write,5,19,316
A,xml,read,5,41,316
A,xml.gz,write,5,26,57
A,xml.gz,read,5,45,57
A,bin,write,6,8,122
A,bin,read,6,18,122
A,xml,write,6,17,316
A,xml,read,6,40,316
A,xml.gz,write,6,37,57
A,xml.gz,read,6,41,57
A,bin,write,7,7,122
A,bin,read,7,15,122
A,xml,write,7,15,316
A,xml,read,7,34,316
A,xml.gz,write,7,22,57
A,xml.gz,read,7,37,57
A,bin,write,8,6,122
A,bin,read,8,14,122
A,xml,write,8,14,316
A,xml,read,8,30,316
A,xml.gz,write,8,21,57
A,xml.gz,read,8,34,57
A,bin,write,9,7,122
A,bin,read,9,13,122
A,xml,write,9,14,316
A,xml,read,9,27,316
A,xml.gz,write,9,22,57
A,xml.gz,read,9,32,57
A,bin,write,10,6,122
A,bin,read,10,13,122
A,xml,write,10,14,316
A,xml,read,10,25,316
A,xml.gz,write,10,20,57
A,xml.gz,read,10,30,57
A,bin,write,11,7,122
A,bin,read,11,13,122
A,xml,write,11,14,316
A,xml,read,11,25,316
A,xml.gz,write,11,22,57
A,xml.gz,read,11,29,57
A,bin,write,12,6,122
A,bin,read,12,13,122
A,xml,write,12,13,316
A,xml,read,12,25,316
A,xml.gz,write,12,20,57
A,xml.gz,read,12,30,57
A,bin,write,13,6,122
A,bin,read,13,14,122
A,xml,write,13,12,316
A,xml,read,13,25,316
A,xml.gz,write,13,21,57
A,xml.gz,read,13,31,57
A,bin,write,14,7,122
A,bin,read,14,31,122
A,xml,write,14,12,316
A,xml,read,14,25,316
A,xml.gz,write,14,20,57
A,xml.gz,read,14,32,57
A,bin,write,15,8,122
A,bin,read,15,13,122
A,xml,write,15,12,316
A,xml,read,15,26,316
A,xml.gz,write,15,19,57
A,xml.gz,read,15,28,57
A,bin,write,16,6,122
A,bin,read,16,13,122
A,xml,write,16,12,316
A,xml,read,16,23,316
A,xml.gz,write,16,19,57
A,xml.gz,read,16,28,57
A,bin,write,17,7,122
A,bin,read,17,14,122
A,xml,write,17,12,316
A,xml,read,17,22,316
A,xml.gz,write,17,19,57
A,xml.gz,read,17,26,57
A,bin,write,18,6,122
A,bin,read,18,13,122
A,xml,write,18,12,316
A,xml,read,18,22,316
A,xml.gz,write,18,19,57
A,xml.gz,read,18,24,57
A,bin,write,19,7,122
A,bin,read,19,13,122
A,xml,write,19,15,316
A,xml,read,19,20,316
A,xml.gz,write,19,19,57
A,xml.gz,read,19,24,57
A,bin,write,20,6,122
A,bin,read,20,13,122
A,xml,write,20,11,316
A,xml,read,20,19,316
A,xml.gz,write,20,18,57
A,xml.gz,read,20,23,57
A,bin,write,21,6,122
A,bin,read,21,12,122
A,xml,write,21,12,316
A,xml,read,21,18,316
A,xml.gz,write,21,18,57
A,xml.gz,read,21,22,57
A,bin,write,22,6,122
A,bin,read,22,13,122
A,xml,write,22,10,316
A,xml,read,22,21,316
A,xml.gz,write,22,20,57
A,xml.gz,read,22,23,57
A,bin,write,23,7,122
A,bin,read,23,15,122
A,xml,write,23,12,316
A,xml,read,23,19,316
A,xml.gz,write,23,31,57
A,xml.gz,read,23,20,57
A,bin,write,24,6,122
A,bin,read,24,12,122
A,xml,write,24,10,316
A,xml,read,24,16,316
